EDA_1646665728.000000,EDA_id,TEMP_1646665728.000000,BVP_1646665728.00,HR_1646665738.000000
0.13325,S31,32.25,102.78,75.92
0.131969,S31,32.25,108.47,76.08
0.131969,S31,32.25,114.13,76.25
0.129407,S31,32.25,119.79,76.45
0.131969,S31,32.25,125.47,76.65
0.131969,S31,32.25,131.25,76.85
0.131969,S31,32.25,136.82,77.03
0.13325,S31,32.25,141.96,77.2
0.13325,S31,32.27,146.46,77.33
0.131969,S31,32.27,150.05,77.45
0.131969,S31,32.27,152.46,77.57
0.134532,S31,32.27,153.31,77.7
0.131969,S31,32.27,152.09,77.85
0.13325,S31,32.27,148.08,78.03
0.134532,S31,32.27,142.66,78.18
0.134532,S31,32.27,136.3,78.32
0.13325,S31,32.27,129.37,78.43
0.13325,S31,32.27,122.07,78.53
0.134532,S31,32.27,114.6,78.63
0.134532,S31,32.27,107.09,78.73
0.135813,S31,32.27,99.67,78.83
0.13325,S31,32.27,92.48,78.9
0.134532,S31,32.27,85.66,78.98
0.134532,S31,32.27,79.39,79.05
0.134532,S31,32.27,73.51,79.1
0.13325,S31,32.27,67.97,79.13
0.135813,S31,32.27,62.74,79.13
0.135813,S31,32.27,57.8,79.13
0.137094,S31,32.29,53.18,79.13
0.137094,S31,32.29,48.89,79.15
0.139657,S31,32.29,44.96,79.17
0.139657,S31,32.29,41.43,79.18
0.139657,S31,32.31,38.38,79.18
0.138375,S31,32.31,35.63,79.17
0.138375,S31,32.31,33.04,79.15
0.139657,S31,32.31,30.55,79.13
0.138375,S31,32.33,28.1,79.1
0.138375,S31,32.33,25.66,78.98
0.138375,S31,32.33,23.22,78.83
0.135813,S31,32.33,20.81,78.67
0.13325,S31,32.31,18.49,78.53
0.13325,S31,32.31,16.32,78.37
0.134532,S31,32.31,14.27,78.33
0.13325,S31,32.31,12.3,78.28
0.13325,S31,32.31,10.43,78.23
0.13325,S31,32.31,8.67,78.22
0.134532,S31,32.31,7.05,78.18
0.134532,S31,32.31,5.59,78.12
0.13325,S31,32.31,4.29,78.07
0.134532,S31,32.31,3.18,78.02
0.135813,S31,32.31,2.27,77.98
0.135813,S31,32.31,1.5,77.95
0.135813,S31,32.31,0.83,77.93
0.135813,S31,32.31,0.22,77.92
0.135813,S31,32.31,-0.33,77.88
0.134532,S31,32.31,-0.85,77.9
0.137094,S31,32.33,-1.33,77.93
0.135813,S31,32.33,-1.76,77.93
0.135813,S31,32.33,-2.13,77.93
0.137094,S31,32.33,-2.42,77.92
0.135813,S31,32.34,-2.64,77.9
0.135813,S31,32.34,-2.79,77.83
0.137094,S31,32.34,-2.9,77.75
0.134532,S31,32.34,-2.98,77.63
0.137094,S31,32.34,-3.05,77.52
0.135813,S31,32.34,-3.15,77.38
0.137094,S31,32.34,-3.31,77.28
0.137094,S31,32.34,-3.57,77.2
0.137094,S31,32.34,-3.94,77.15
0.135813,S31,32.34,-4.45,77.1
0.134532,S31,32.34,-5.08,77.05
0.137094,S31,32.34,-5.83,76.97
0.135813,S31,32.34,-6.63,76.9
0.128125,S31,32.34,-7.45,76.8
0.134532,S31,32.34,-8.22,76.73
0.137094,S31,32.34,-8.86,76.72
0.138375,S31,32.37,-9.33,76.72
0.138375,S31,32.37,-9.56,76.75
0.138375,S31,32.37,-9.54,76.8
0.131969,S31,32.37,-9.26,76.85
0.139657,S31,32.34,-8.74,76.88
0.1435,S31,32.34,-8.03,76.88
0.146063,S31,32.34,-7.23,76.88
0.149907,S31,32.34,-6.42,76.85
0.151188,S31,32.34,-5.68,76.83
0.148625,S31,32.34,-5.12,76.8
0.151188,S31,32.34,-4.79,76.75
0.152469,S31,32.34,-4.72,76.65
0.148625,S31,32.34,-4.92,76.55
0.149907,S31,32.34,-5.35,76.38
0.148625,S31,32.34,-5.95,76.28
0.148625,S31,32.34,-6.65,76.13
0.148625,S31,32.39,-7.37,76.0
0.148625,S31,32.39,-8.04,75.87
0.137094,S31,32.39,-8.62,75.75
0.128125,S31,32.39,-9.03,75.63
0.134532,S31,32.39,-9.25,75.52
0.147344,S31,32.39,-9.24,75.47
0.144782,S31,32.39,-8.99,75.45
0.129407,S31,32.39,-8.52,75.48
0.137094,S31,32.39,-7.89,75.52
0.142219,S31,32.39,-7.18,75.57
0.1435,S31,32.39,-6.49,75.37
0.131969,S31,32.39,-5.92,75.13
0.140938,S31,32.39,-5.54,74.95
0.147344,S31,32.39,-5.41,74.75
0.146063,S31,32.39,-5.52,74.58
0.142219,S31,32.39,-5.88,74.53
0.138375,S31,32.41,-6.47,74.5
0.129407,S31,32.41,-7.3,74.33
0.126844,S31,32.41,-8.4,74.22
0.121719,S31,32.41,-9.79,74.13
0.120438,S31,32.37,-11.51,74.05
0.120438,S31,32.37,-13.53,73.97
0.121719,S31,32.37,-15.79,74.05
0.120438,S31,32.37,-18.16,74.1
0.119157,S31,32.39,-20.53,74.13
0.121719,S31,32.39,-22.79,74.17
0.121719,S31,32.39,-24.93,74.18
0.119157,S31,32.39,-27.04,74.2
0.119157,S31,32.39,-29.26,74.22
0.121719,S31,32.39,-31.76,74.22
0.120438,S31,32.39,-34.57,74.22
0.119157,S31,32.39,-37.65,74.22
0.120438,S31,32.41,-40.79,74.22
0.119157,S31,32.41,-43.79,74.22
0.120438,S31,32.41,-46.51,74.18
0.119157,S31,32.41,-48.97,74.13
0.121719,S31,32.39,-51.45,74.07
0.120438,S31,32.39,-54.27,74.0
0.119157,S31,32.39,-57.85,73.93
0.120438,S31,32.39,-62.37,73.88
0.121719,S31,32.41,-67.77,73.82
0.121719,S31,32.41,-73.78,73.78
0.121719,S31,32.41,-80.05,73.75
0.119157,S31,32.41,-86.3,73.72
0.121719,S31,32.41,-92.55,73.72
0.120438,S31,32.41,-99.14,73.7
0.120438,S31,32.41,-106.53,73.68
0.120438,S31,32.41,-115.18,73.67
0.121719,S31,32.41,-125.31,73.73
0.121719,S31,32.41,-136.72,73.83
0.121719,S31,32.41,-149.0,73.93
0.121719,S31,32.41,-161.62,74.07
0.123,S31,32.41,-174.21,74.2
0.120438,S31,32.41,-186.66,74.35
0.123,S31,32.41,-199.18,74.5
0.120438,S31,32.41,-212.14,74.67
0.120438,S31,32.39,-226.18,74.88
0.121719,S31,32.39,-242.16,75.15
0.121719,S31,32.39,-261.01,75.38
0.121719,S31,32.39,-283.36,75.67
0.123,S31,32.39,-308.87,75.95
